transect_number,site,management_unit,NG_pc_mean,NG_pc_sd,E_pc_mean,E_pc_sd,BG_pc_mean,BG_pc_sd,E_diversity,NF_diversity,years_since,management,year
1,Lake Borrie Spit ,E ,37.5,23.6,10.3,13.1,41.5,23.9,8,9,1.5,NA,2010
2,Lake Borrie Spit ,E ,35.8,26,8.6,10.2,48,22.8,4,9,1.5,NA,2010
3,Lake Borrie Spit ,D ,11.5,9.7,5.4,4,78.3,15,4,5,0.5,NA,2010
4,Lake Borrie Spit ,A ,72,18.9,1.4,0.7,20.2,15.7,6,9,1.5,NA,2010
5,Lake Borrie Spit,A ,21.7,13.5,14.4,8.4,61,17.9,8,5,1.5,NA,2010
6,Lake Borrie Spit,A ,60,25.1,3.2,2.7,32.7,19.6,4,7,1.5,NA,2010
7,Lake Borrie Spit,C,11.7,9.1,9.5,8.2,74,9.7,4,6,0.5,NA,2010
8,Lake Borrie Spit,C,6,4.7,22,21.7,68.5,24.4,6,5,0.5,NA,2010
9,Lake Borrie Spit,V,8.6,10.7,39.4,28.2,49.6,23.7,9,7,0.5,NA,2010
10,Lake Borrie Spit,C,13.7,10.9,23.5,16,61,14.9,8,4,0.5,NA,2010
11,Skeleton Creek ,NA,27.2,26.4,37.2,31.8,27.2,22.5,13,6,2.5,NA,2010
12,T-Section ,W,14.6,10.3,3,1.3,78,8.9,2,13,0.5,NA,2010
13,T-Section ,W,18.5,8.1,6.3,3.7,73.5,5.3,8,6,0.5,NA,2010
14,T-Section ,E ,8,12.1,31.2,20.5,44.2,31,12,13,3.5,NA,2010
15,T-Section ,E ,16,12.7,23.8,12.9,66,8.4,4,8,3.5,NA,2010
16,Kayes Ck - Windsor Blvd,A ,29,22.1,41.2,28.4,29,11.3,7,7,3.5,NA,2010
17,Kayes Ck - Windsor Blvd,B,45.8,44.4,33.4,36.1,18.8,23.2,9,2,11,NA,2010
18,Paul & Belfrages,B,48.9,26.6,38.9,29.6,11.7,12.9,6,5,0,NA,2010
19,Paul & Belfrages,B,53,18.4,34,20,14.3,16.7,5,3,0,NA,2010
20,Paul & Belfrages,B,60,30.1,17.9,19.8,22,28.3,7,3,0,NA,2010
21,Paul & Belfrages,A ,41.5,30.1,53.8,27.2,5.8,11.3,6,4,2.5,NA,2010
22,Paul & Belfrages,A ,38.5,30.1,57.8,32.8,0.6,1.3,8,4,2.5,NA,2010
23,Paul & Belfrages,A ,59.2,27.4,34.2,29.1,5.8,7.1,6,4,2.5,NA,2010
24,Joe Ryan's,C,0.1,0.3,81.4,17.4,18.5,17.5,5,3,0,NA,2010
25,Joe Ryan's,C,1,1.6,75.4,22.5,23.9,23.3,4,1,0,NA,2010
26,Joe Ryan's,C,1.1,1.4,67.5,10.3,30.5,12.1,6,4,0,NA,2010
27,Joe Ryan's,E ,22.6,29.7,70.6,32.3,6.4,8.4,11,1,2.5,NA,2010
28,Joe Ryan's,E ,15,26.2,76.9,26.9,7.9,4.8,14,2,2.5,NA,2010
29,Joe Ryan's,B,43.5,8.8,20.1,9.5,34,9.4,7,2,0.5,NA,2010
30,Joe Ryan's,B,41.2,24.3,25.3,28.8,33.5,14.2,4,2,0.5,NA,2010
31,Joe Ryan's,B,56,17.4,15.7,9.3,28.5,12.3,6,2,0.5,NA,2010
32,Joe Ryan's,D ,38,36.5,57.8,37,4.1,6.1,12,2,1.5,NA,2010
33,Joe Ryan's,D ,45.5,27.2,51.5,29.3,3,4.8,8,2,1.5,NA,2010
34,Joe Ryan's,A ,33,20.6,60,23.6,7,18.7,6,3,4.5,NA,2010
35,Joe Ryan's,A ,7.2,12.6,74.1,32,18.4,19.9,7,1,4.5,NA,2010
36,Fitzgerald Road,NA,49.5,11.7,19.4,11.8,28.5,9.7,12,11,2.5,NA,2010
37,Fitzgerald Road,NA,64.5,16.4,26.3,19.1,7.9,9.2,10,9,2.5,NA,2010
38,Kayes Ck - Yeend Ct,NA,67.5,22.5,16,20.6,15.2,13.1,10,4,11,NA,2010
39,Kayes Ck and Imms Ck,B,57.4,45.1,40.6,43.6,1.8,2.4,7,1,4.5,NA,2010
40,Kayes Ck and Imms Ck,B,45,15.1,7.6,7.6,44,16.6,7,16,4.5,NA,2010
41,Kayes Ck and Imms Ck,A ,72.5,15.5,12.1,8.1,15.1,11.2,7,3,11,NA,2010
1,Lake Borrie Spit ,E ,59,29.5,23.1,26,16.9,17.4,8,12,2.5,WC,2011
2,Lake Borrie Spit ,E ,70.5,20.9,12.8,11.3,14.9,18.7,5,11,2.5,WC,2011
3,Lake Borrie Spit ,D ,69.7,28.8,9.9,9.9,14.9,11.8,5,9,1.5,WC,2011
4,Lake Borrie Spit ,A ,85.5,19.3,4.9,7.2,2,2.5,7,10,2.5,WC,2011
5,Lake Borrie Spit,A ,39,23.2,38,20.3,21.9,19.1,5,7,2.5,No_Management,2011
6,Lake Borrie Spit,A ,82.9,34.7,11.8,23,1,2.2,6,3,2.5,WC,2011
7,Lake Borrie Spit,C,69.8,27.6,17.4,22.1,15.8,13.3,6,5,1.5,WC,2011
8,Lake Borrie Spit,C,67.5,25.1,17.4,21.7,15.7,18.4,9,5,1.5,WC,2011
9,Lake Borrie Spit,V,52,28.1,44,28.5,3.9,2.8,10,5,1.5,WC,2011
10,Lake Borrie Spit,C,66,25,19.4,22.2,9.3,7,7,7,1.5,WC,2011
11,Skeleton Creek ,NA,17.9,29.1,49.7,28.2,1.9,1.5,12,7,3.5,No_Management,2011
12,T-Section ,W,61.9,20.5,1.6,2.1,28.5,3.4,8,11,1.5,WC,2011
13,T-Section ,W,71,7,7.2,5.7,24.5,6.4,6,7,1.5,WC,2011
14,T-Section ,E ,34.5,28.3,22.5,18.9,21.7,18,10,10,4.5,WC,2011
15,T-Section ,E ,44.7,24.3,6.2,4.2,47,24.9,9,5,4.5,WC,2011
16,Kayes Ck - Windsor Blvd,A ,36.7,27.2,56.7,26.6,7.4,4.8,5,5,4.5,WC,2011
17,Kayes Ck - Windsor Blvd,B,51,33.7,46.5,31.7,1.9,2.5,8,4,12,WC,2011
18,Paul & Belfrages,B,45,23,39.5,18,2.5,0.8,3,2,0,Grazing_WC,2011
19,Paul & Belfrages,B,41,15.8,23.5,9.4,5.6,2.4,3,2,0,Grazing_WC,2011
20,Paul & Belfrages,B,43,36.7,41.7,33.4,4.3,2.9,5,2,0,Grazing_WC,2011
21,Paul & Belfrages,A ,37.5,19.6,52,15.8,4.1,2.4,6,2,3.5,WC,2011
22,Paul & Belfrages,A ,37,22.1,48.5,14.5,5.4,2.3,7,2,3.5,WC,2011
23,Paul & Belfrages,A ,57,23.2,40.2,21.4,5.1,1.6,2,1,3.5,WC,2011
24,Joe Ryan's,C,4.3,10.9,90.1,11.8,5.6,3.6,6,1,0,Grazing_WC,2011
25,Joe Ryan's,C,3.6,9.3,80,8.8,5.3,1.8,4,1,0,Grazing_WC,2011
26,Joe Ryan's,C,11.7,22.8,69.1,21.9,8.6,11.3,4,1,0,Grazing_WC,2011
27,Joe Ryan's,E ,1.5,4.7,86.1,12.3,2.1,3.3,13,1,3.5,No_Management,2011
28,Joe Ryan's,E ,2.7,7.9,84.3,10.6,3.7,4.5,12,1,3.5,No_Management,2011
29,Joe Ryan's,B,69.5,26.4,31.5,22.9,4.8,1.5,2,2,1.5,WC,2011
30,Joe Ryan's,B,58.5,30,26.9,17.2,6.4,2.2,2,1,1.5,WC,2011
31,Joe Ryan's,B,59.5,24,27.5,25.6,5.2,3.8,4,2,1.5,WC,2011
32,Joe Ryan's,D ,14.7,24.8,59.5,32.3,3.5,3.9,6,4,2.5,WC,2011
33,Joe Ryan's,D ,4.5,4.4,65,26.5,3.6,2.6,4,1,2.5,No_Management,2011
34,Joe Ryan's,A ,8.5,14.7,74,17.1,2.1,2,9,1,5.5,No_Management,2011
35,Joe Ryan's,A ,1.8,4.7,84.5,9,1.4,1.1,9,1,5.5,No_Management,2011
36,Fitzgerald Road,NA,67,24.3,32.2,23.9,2.6,2,8,6,3.5,WC,2011
37,Fitzgerald Road,NA,89.4,14.9,10.4,14.8,0.7,1.6,7,6,3.5,WC,2011
38,Kayes Ck - Yeend Ct,NA,55,40.1,33.9,28.8,1.8,1.6,14,2,12,WC,2011
39,Kayes Ck and Imms Ck,B,9,28.5,71,28.6,2.6,4.5,6,1,5.5,No_Management,2011
40,Kayes Ck and Imms Ck,B,84.7,15.3,10.6,9.4,5.1,8.1,8,13,5.5,WC,2011
41,Kayes Ck and Imms Ck,A ,46.7,38.3,38.8,32.5,1.8,1.9,9,0,12,No_Management,2011